name,rate_avg,num_reviews,detail
삼성궁(三聖宮),4.2,1844,
용추계곡,4.5,345,야영
칠선계곡,4.3,553,단풍
가야랜드,3.9,1000,"놀이공원, 롤러코스터 및 야영"
입곡군립공원,4.3,1297,"공원, 저수지 및 단풍"
수승대(搜勝臺),4.3,1333,야영 및 연극
전주 한옥마을,4.1,26070,한옥이 있는 전통 마을
내장산국립공원,4.3,3626,"공원, 단풍 및 산"
경기전,4.3,1320,어진 박물관이 있는 유서 깊은 사원
자만벽화마을,3.9,1414,벽화로 알록달록한 집과 골목길
덕유산,4.6,256,폭포가 있는 국립공원의 산
남부시장,4.0,4852,수공예품과 길거리 음식을 판매하는 한국 시장
선운사(禪雲寺),4.4,3245,숭엄한 6세기 불교 사찰
선유도,4.1,180,모래 해변이 있는 경치 좋은 섬
풍남문,4.2,1399,정자 형태로 된 옛 요새의 관문
전동성당,4.4,3489,순교자의 조각상이 있는 로마네스크 교회
전주동물원,4.3,3565,동물원
마이산,4.3,141,암석 절벽과 등산로가 있는 적당한 높이의 봉우리
오목대,3.9,195,한옥마을 전망과 기념비가 있는 전망대
덕진공원,4.2,3503,탑과 연꽃 연못이 있는 호숫가 공원
전주향교,4.3,1650,은행나무가 있는 수백 년 된 학교
광한루원,4.3,4390,
채석강,4.2,2755,절벽 및 공원
금산사,4.5,1532,서기 599년에 설립되어 현재까지 운영 중인 불교 사찰
임실치즈테마파크,4.3,1402,
무주구천동계곡,4.5,359,단풍 및 야영
광한루(廣寒樓),4.4,2486,재건된 15세기 누각
군산근대역사박물관,4.1,4704,1930년대 도시에 대해 다루는 지역 역사 박물관
뱀사골 계곡,4.6,552,"단풍, 야영 및 자연"
향적봉,4.5,319,등산 및 단풍
금강하구둑,4.0,141,철새
익산 미륵사지,4.4,2335,7세기에 축조한 석탑
경암동철길마을 시작점,3.8,6833,복고풍 상점과 폐철로
객리단길,4.2,323,
고창읍성,4.4,2858,역사
국립전주박물관,4.4,1178,다양한 전시물을 갖춘 국립 박물관
국립무형유산원,4.4,420,
전주 풍패지관,4.1,442,
어진박물관,4.2,1146,박물관
완산공원,4.3,181,공원
신흥동 일본식가옥,3.7,3095,전통 일본식 가옥과 정원
왕궁리유적,4.4,678,유적 및 역사
춘향테마파크,3.7,1133,
직소폭포,4.4,461,
국립익산박물관,4.5,816,박물관
전북도립미술관,4.2,782,"미술관, 파블로 피카소, 마르크 샤갈, 예술 및 박물관"
한벽당,4.3,111,건축
무주 머루와인,3.6,1907,"동굴, 포도주 및 와인 농장"
마이산도립공원,4.4,248,공원
변산마실길,4.2,115,
익산보석박물관,3.8,1439,박물관
벽골제,4.2,1321,"저수지, 유적 및 역사"
한국도로공사 전주수목원,4.5,2759,정원
백제왕궁박물관,4.3,340,유적 및 역사
고인돌공원,4.1,1337,
은파호수공원(동편),4.5,830,공원
대장봉(장자봉),4.5,1143,
대한불교조계종 동국사,4.0,1891,불교 및 사원
진포해양테마공원,4.0,2131,공원
안국사,4.1,308,단풍 및 사원
고산자연휴양림,4.4,465,야영
위봉폭포,4.3,161,
태권도원(Taekwondowon),4.6,950,태권도
군산근대건축관,4.2,333,건축 및 미술관
칠연계곡,4.3,275,야영
전라감영,4.4,274,
부안영상테마파크,2.9,347,
전주한지박물관,4.3,257,인터랙티브 한지 전시관
대아 수목원,4.3,625,
옥정호 구절초테마공원,4.2,1620,공원
순천만습지,4.4,9491,자연 및 조류 보호 구역
죽녹원,4.4,9955,거대한 대나무 숲 속의 산책로
낙안읍성민속마을,4.2,5530,역사적인 요새에 자리한 문화 명소
오동도,4.4,299,동백꽃이 피는 경치 좋은 섬
순천만국가정원,4.5,6128,독특한 조경지를 자랑하는 정원
보성녹차밭 대한다원,4.3,2362,산책할 수 있는 드넓은 녹차 밭
홍도,4.2,140,자연 보호구역인 바위산
돌산공원,4.3,2713,찻집이 있는 탁 트인 전망의 넓은 공원
여수해상케이블카 돌산탑승장,4.2,9874,탁 트인 풍경을 볼 수 있는 케이블카
대한불교조계종 백양사(白羊寺),4.4,2443,숲 속에 자리잡은 사찰
대한불교조계종 향일암,4.5,5192,바다 경관을 만끽할 수 있는 불교 사찰
한국불교태고종 선암사,4.5,1361,그림 같은 다리로 유명한 사찰
메타세쿼이아가로수길,4.1,5698,
여수해양레일바이크,3.8,2951,여수 해변가를 따라 달리는 레일바이크
아쿠아플라넷 여수,4.1,8515,터치풀과 쇼를 즐길 수 있는 수영장
대흥사,4.4,1532,사원 및 불교
섬진강기차마을,4.1,2820,B&B 숙박용으로 개조된 기차
돌산대교,4.3,460,화려한 야간 조명을 자랑하는 사장교
이순신광장,4.1,8024,공원
미황사,4.5,1111,경치가 좋은 불교 사원
메타프로방스,3.9,3392,상점과 카페가 있는 프랑스 테마의 마을
목포해상케이블카 북항승강장,4.3,3168,
대한다원 보성녹차밭,4.4,1626,전망대가 있는 다원
신안 퍼플섬,4.0,803,
태평염전,4.0,1198,방문자 시설을 갖춘 소금 농장
목포 갓바위 (천연기념물 제500호),4.2,1767,바다 앞 사암 바위
와온해변,4.3,106,해변
하멜등대,4.1,1468,등대
회산백련지,4.5,293,
국립해양문화재연구소,4.6,602,박물관
