name,rate_avg,num_reviews,detail
강릉 선교장,4.3,2238,현재는 박물관으로 사용되는 18세기 양반의 고택
강릉중앙시장,4.0,13816,
원대리 자작나무 숲,4.3,1956,등산로가 있는 흰 자작나무 숲
고성통일전망타워,4.2,6046,북한을 볼 수 있는 전망대
속초해변,4.3,7456,수영과 조개껍질 수집
해신당공원,4.0,1668,남근 예술작품과 민속 전통이 어우러진 곳
영금정,4.2,10263,바다가 내려다보이며 주변이 트여있는 정자
하조대,4.4,2943,
알파카월드,4.4,3486,알파카와 조류를 볼 수 있는 삼림 공원
설악산 울산바위,4.7,969,탁 트인 전망의 암석 봉우리
안목해변,4.2,10226,해변
제이드가든 수목원,4.2,3766,넓은 정원 & 카페
경포해변,4.4,253,수 km에 걸친 모래사장 곳곳에 조형물이 있는 해변
경포호,4.4,524,철새 도래지이자 일몰 명소인 호수
정선레일바이크,4.4,2450,페달을 밟아 철도를 달리며 감상하는 탁 트인 전망
설악산 케이블카,4.3,8773,케이블카를 타면 볼 수 있는 산성 유적지와 멋진 풍경
DMZ 박물관,4.3,3174,박물관
백담사(百潭寺),4.3,2616,나무가 우거진 불교 사찰
소금산 출렁다리,4.1,6243,협곡 위의 긴 출렁다리
청평사,4.3,1433,정원에 둘러싸인 유서 깊은 사원
오션700,4.1,1638,"워터 슬라이드, 스릴 넘치는 놀이기구, 파도풀"
대관령 삼양목장,4.4,3718,자동차와 자전거를 탈 수 있는 아름다운 목장
강문해변,4.4,189,해변
장호항,4.2,143,모래 해변이 있는 조용한 항구
강원랜드 카지노,3.4,5475,"카지노, 룰렛, 경마, 슬롯 머신 및 블랙잭"
고석정,4.3,3502,협곡 및 래프팅
소양강스카이워크,3.9,7812,호수 위의 투명한 유리 보도
안목해변,4.3,283,커피 거리가 있는 도심 해변
속초관광수산시장,4.0,23739,"해산물, 시장 및 쇼핑"
별마로천문대,4.6,740,"패러글라이딩, 천체투영관, 야영 및 관측소"
망상 해수욕장,4.4,310,해변 및 야영
휴휴암,4.3,5185,사원
환선굴(幻仙窟),4.5,1488,종유석이 있는 거대한 석회동굴
원주 구룡사,4.3,1240,사원
외옹치 바다향기로,4.4,2789,
송지호해수욕장,4.3,750,해변
모래시계공원,4.0,5319,공원
홍천 은행나무숲,3.7,843,단풍
엑스포타워,3.8,1724,
춘천 명동 닭갈비골목,3.8,3473,유명한 닭갈비 골목
삼척해양레일바이크 용화정거장,4.2,3552,
추암 촛대바위,4.4,8805,해변
천불동 계곡,4.7,105,산책로와 폭포가 있는 가파른 계곡
델피노 오션플레이,4.1,234,워터파크
허브나라농원,4.1,883,
삼탄아트마인 (Samtan Art Mine),3.9,598,광산 시설 사이에 전시된 예술품
애니메이션박물관,4.3,2591,애니메이션 및 로봇 전시
BTS 버스정류장,4.4,619,
속초등대,4.3,705,동해 전망의 절벽 위 등대
안반데기,4.4,332,
삼척해변역,4.2,257,경치 좋은 해안 철도 정차역
간현관광지(소금산그랜드밸리),4.2,5268,야영
비룡폭포,4.5,206,폭포 & 유명한 하이킹 코스
법주사,4.4,3239,553년 승려가 창건한 절
속리산국립공원,4.5,1058,사찰이 있는 외딴 산악 지역
대한불교천태종 구인사,4.2,1883,"사원, 불교, 건축 및 단풍"
도담삼봉,4.1,7775,강 한가운데에 우뚝 솟은 3개의 봉우리
만천하스카이워크,4.3,2162,유리 바닥으로 된 미래지향적 느낌의 전망대
고수동굴,4.2,4988,아름다운 자연 동굴 탐험
청주고인쇄박물관,4.3,571,박물관
소백산국립공원,4.6,134,하이킹과 등산을 할 수 있는 드넓은 산악 지대
국립현대미술관 청주,4.5,1050,"미술관, 예술 및 조각"
의림지,4.3,3840,"저수지, 역사 및 자연"
수암골,4.0,753,
단양강 잔도길,4.3,1659,
상당산성,4.5,2947,산성 옆 언덕 등산로
하선암,4.2,154,야영
국립청주박물관,4.4,1245,현지 역사와 문화 전시
중앙탑사적공원,4.5,2181,공원
수양개빛터널,4.0,1851,
단양 다누리아쿠아리움,4.4,2096,수족관
청풍호반 케이블카 물태리역,4.5,5252,
화양구곡 (華陽九谷),4.3,470,야영
청풍랜드,4.1,1487,번지 점프
미동산수목원,4.5,1032,과학관
청풍문화재단지,4.2,1711,복원한 수몰 지역
충주 탑평리 칠층석탑,4.6,324,공원
활옥동굴,4.2,2569,
온달관광지,4.0,1615,드라마
사인암(舍人巖),4.3,2243,
청주동물원,4.1,841,동물원 및 호랑이
청주시립미술관,4.3,205,미술관 및 예술
진천농교,4.3,2467,
옥순봉 출렁다리,4.2,443,
온달동굴,4.3,234,"동굴, 자연 및 석순"
충주호유람선,4.0,2520,
충주 탄금대(彈琴臺),4.2,1520,공원 및 역사
단양구경시장,4.0,7114,
무심천체육공원,4.5,159,공원
영동와인터널,4.2,500,포도주
좌구산 휴양랜드 좌구산자연휴양림,4.4,632,야영
금수산,4.3,101,나무가 울창하게 우거진 산
비로봉,4.6,134,등산 및 산
삼년산성,4.3,121,성 및 역사
덕주사,4.2,465,사원
덕동계곡,4.2,218,야영
중선암,4.1,182,
청풍호 관광 모노레일,4.6,120,
옥화자연휴양림,4.3,264,야영
능강계곡,4.1,582,
