name,rate_avg,num_reviews,detail
에버랜드,4.5,1270,"동물원, 놀이 기구, 의상이 돋보이는 퍼레이드"
경기도 수원화성,4.6,7142,1700년대 성벽과 48개의 구조물
아침고요수목원,4.4,14471,고요한 분위기의 경치 좋은 곳
한국민속촌,4.3,13893,한국 전통 가옥 & 테마파크
쁘띠프랑스,3.9,4434,프랑스를 테마로 한 공원 및 문화 마을
캐리비안베이,4.3,7607,모든 연령대를 위한 어트랙션이 있는 워터파크
헤이리 예술마을,3.9,7357,창의적인 예술가 공동체
화성행궁,4.4,10980,방문자 센터가 있는 1789년 요새 궁전
T익스프레스,4.8,711,2008년 개장한 초대형 목제 롤러코스터
에버랜드,4.4,55259,세계 각국의 요리를 선보이는 레스토랑과 기념품 가게
포천 허브아일랜드,4.1,5884,간이 식당 및 기념품 가게가 있는 테마파크
베어스타운 스키장,3.9,975,스키와 집라인을 일 년 내내 즐길 수 있는 리조트
지산포레스트리조트,4.2,3393,"스키장, 스키, 스노보드 및 겨울 스포츠"
국립수목원,4.5,1551,숲 박물관이 있는 국립 수목원
포천아트밸리,4.1,1273,옛 채석장에 있는 예술 공간 및 공원
용인대장금파크,4.3,999,다양한 건축물이 있는 야외 영화 세트장
팔달문,4.4,5182,18세기 성곽의 대형 문
제부도,4.1,160,방문객에게 유명한 작은 섬
광교호수공원,4.6,5557,산책로와 숲이 있는 호숫가 공원
도라전망대,4.4,3009,북한을 바라보는 관측소
호암미술관,4.5,1734,테마파크 속 한국화 미술관
세미원,4.1,4099,연꽃과 연못이 있는 고즈넉한 정원
수락산,4.4,328,사찰과 폭포가 있는 아름다운 산
두물머리,4.3,8778,강이 만나는 아름다운 곳
청계산,4.3,175,"등산, 박물관, 테마파크"
안양예술공원,4.2,3779,정자와 조각상이 있는 공원
두물머리,4.5,301,자연
오두산통일전망대,4.3,3531,역사적인 전시물 및 멋진 전망
자라섬,4.4,134,넓은 서핑 공원이 있는 섬
백남준아트센터,4.2,887,예술
해우재 똥 박물관,4.1,1429,재미있는 전시품이 있는 화장실 테마 박물관
종합행사장,4.2,595,놀이공원
북한산성,4.5,797,1711년에 완공되어 오랜 시간 명성을 쌓아온 요새
국립현대미술관 과천,4.4,2701,세련된 현대 미술관 및 정원
비둘기낭 폭포,4.3,3492,"폭포, 협곡, 자연, 야영 및 공원"
화홍문,4.6,1663,1700년대 성곽의 다리와 수문
방화수류정,4.7,2444,건축
용문산 용문사,4.4,1961,수백 년 된 은행나무와 등산로가 있는 절
융릉과건릉,4.5,1879,"무덤, 역사 및 사적"
화담숲,4.5,12223,가을 단풍이 유명한 수목원
서울동물원,4.5,1494,동물원
경기도미술관,4.3,611,"미술관, 건축, 조각, 예술 및 박물관"
불암산,4.5,107,"등산, 등반 및 산"
유명산,4.1,115,등산과 캠핑을 할 수 있는 울창한 산
벽초지수목원,4.0,3170,조경이 잘 된 정원이 있는 삼림 공원
동구릉,4.4,221,"무덤, 사적 및 역사"
화서문,4.6,1263,
산정호수,4.1,201,산에 둘러싸인 유명한 호수
에델바이스 스위스테마파크,3.5,1554,스위스 산악마을을 구현한 테마파크
명지계곡,4.1,386,야영
프로방스 마을,3.9,7298,상점이 있는 지중해 테마의 마을
마장호수,4.4,202,야영 및 호수
용추계곡,4.2,302,야영
유명산 자연휴양림,4.4,1888,야영 및 자연
대한불교조계종 연주대,4.6,129,"등산, 사원, 등반 및 산"
백운계곡,4.2,892,야영 및 호수
남양주 광릉,4.3,338,"무덤, 숲, 사적 및 자연"
가평레일파크,4.3,1706,사용하지 않는 철로를 따라 달리는 레일 바이크
율동공원,4.6,3154,호숫가 산책로와 번지점프대
감악산,4.2,320,숲속 탐방과 긴 현수교
수원화성박물관,4.3,1412,18세기 요새에서 발견된 유물
용문산,4.3,106,"등산, 절, 전망으로 유명한 산"
탄도항,4.2,1863,
삼성화재 교통박물관,4.3,1587,유서 깊은 차량 및 체험형 전시
장안문,4.5,1637,1700년대에 세운 방어용 성곽의 출입문
전곡선사박물관,4.4,1194,"박물관, 구석기 시대, 선사 시대, 유적 및 건축"
미메시스 아트 뮤지엄,4.3,660,"미술관, 건축, 박물관 및 예술"
나리공원,3.9,2237,핑크뮬리와 꽃이 가득한 공원
북한산국립공원 송추계곡,4.3,829,야영
효종 영릉(寧陵),4.5,340,무덤 및 사적
양주시립 장욱진미술관,4.3,568,"미술관, 예술 및 박물관"
철도박물관,4.1,1730,박물관
와우정사(臥牛精舍),4.2,2751,불교 및 사원
일영유원지,3.7,221,야영
봉선사,4.4,2294,불교 및 사원
산사원,4.4,1070,박물관
창룡문,4.6,777,
동장대 (연무대),4.4,2297,궁술
남이섬,4.4,31717,예술 및 문화 행사가 있는 푸르른 섬
설악산국립공원,4.4,1014,하이킹 코스 & 야생동물이 있는 국립공원
설악산,4.6,324,동식물 생태계가 풍부한 우뚝 솟은 봉우리
하이원스키장,4.5,3759,슬로프 18개가 있는 대규모 스키 리조트
엘리시안 강촌 스키장,4.3,257,스키장과 골프 클럽이 있는 리조트
강촌레일파크 김유정레일바이크,4.4,4511,철도 트랙 위의 경치 좋은 바이크 투어
오션월드,4.3,6092,슬라이드와 수영장이 있는 대규모 워터파크
경포해변,4.4,8167,넓고 부산한 모래 해변
오대산국립공원,4.4,342,산과 등산로가 있는 경치 좋은 지역
경포대,4.5,1383,전통적인 부속 건물과 유서 깊은 옛 기록
뮤지엄 산,4.5,4317,숲이 우거진 산 속 현대 미술관
하슬라아트월드,4.3,3249,"해변 박물관, 호텔, 조각 공원"
낙산사,4.5,9308,"1,300년 이상의 역사를 간직한 사원"
월정사,4.4,2487,"불교 사찰, 탑, 보물"
대관령양떼목장,4.2,4592,아름다운 양 농장 산책
오죽헌,4.3,9208,박물관이 있는 유학자의 옛 거주지
설악산 신흥사,4.1,2696,청동 불상이 있는 산 속의 사찰
레고랜드 코리아 리조트,3.9,1058,"놀이공원, 유적 및 놀이기구"
낙산해수욕장,4.3,3434,카페와 식당이 늘어선 모래 해변
서피비치,4.3,4018,서핑 및 해변
정동진해변,4.2,4069,독특한 외관의 호텔이 있고 새해 해돋이 명소인 해변
한화리조트 설악워터피아,4.2,3161,일 년 내내 운영하는 워터파크 및 온천 스파
